	GFP1	GFP2	GFP3	GFP4	GFP5	GFP6	GFP7	GFP8	GFP9	GFP10	GFP11
A1CF	-0.039916723	-0.042472409	-0.097299826	-0.086630722	0.001796383	-0.123536479	-0.116442391	-0.120574969	-0.099067673	-0.139209856	-0.075185251
A2M	0.110248049	0.195694391	0.099464033	0.090036633	0.165705953	0.082277938	0.126829917	0.21237709	0.153630631	0.141190522	0.183683706
A4GALT	0.053866169	0.117770974	0.051730689	0.104327504	0.058002945	0.092116349	0.064868549	0.12006977	0.078799977	0.120174228	0.07273089
A4GNT	-0.24720486	-0.180380981	-0.200679881	-0.207820438	-0.195067865	-0.16143083	-0.187997255	-0.129919334	-0.166202268	-0.205503313	-0.16282222
AAAS	0.401407505	0.371675015	0.409983985	0.367090348	0.383938016	0.393124875	0.290885935	0.254478994	0.312574708	0.249088864	0.405906154
AACS	0.802940435	0.886937214	0.928023295	0.911127312	0.908782346	0.837392257	0.804065277	0.759178605	0.75912257	0.775662796	0.898039288
AADAC	-0.117400601	-0.055864823	0.013311964	0.004868575	-0.031400406	-0.035034576	-0.097141084	0.022996941	-0.115147235	0.002127549	-0.032090693
AAGAB	0.224847429	0.244963741	0.200110829	0.22789793	0.233487818	0.221192106	0.252458918	0.271324017	0.210209658	0.225518569	0.340431919
AAK1	0.010223295	-0.008496119	0.003344466	0.043329721	0.031298128	0.011354864	-0.002952701	-0.049917639	-0.072210608	-0.038468314	-0.02552003
AAMP	0.610089463	0.544099536	0.5946624	0.654233434	0.554324075	0.533958861	0.558300567	0.516410616	0.488344284	0.516399279	0.573865365
AANAT	-0.40140281	-0.358160839	-0.313688501	-0.383442721	-0.317278702	-0.234203545	-0.357422376	-0.282224174	-0.350086222	-0.374045692	-0.275012585
AARS	2.164761469	2.244460255	2.204072893	2.328815058	2.24414663	2.34887585	2.201792285	2.151884906	2.150657847	2.261351578	2.080281064
AARSD1	0.242702951	0.423736136	0.287739899	0.265265142	0.342105205	0.335621915	0.240847682	0.257838238	0.323190011	0.31313182	0.361895628
AASDHPPT	0.733649339	0.807820504	0.653538315	0.570275072	0.7019906	0.735244887	0.66762103	0.766570132	0.834558581	0.758403009	0.891862118
AASS	0.063311846	0.050978209	0.10124132	0.038073193	0.055398781	0.000660525	0.114313842	0.035274679	0.063917117	0.003933606	0.131000156
AATF	1.234130482	1.444627683	1.165695905	1.183717708	1.353702863	1.396837234	1.151664287	1.370893419	1.242837618	1.194347024	1.296661754
AATK	0.025387707	-0.009670713	-0.048279526	-0.071016967	0.018135591	0.007985904	-0.016176099	0.035993376	-0.02494271	-0.04423577	0.014761935
ABAT	0.299069814	0.321283151	0.214152337	0.286069286	0.279135688	0.164166818	0.241396428	0.274317238	0.258291603	0.215780555	0.24938153
ABCA1	0.715572092	0.666630196	1.003115371	0.622842087	0.806545492	0.778957936	0.799449827	0.717997314	0.695763569	0.650586035	0.927291516
ABCA11P	0.047374067	-0.113728034	-0.031926024	-0.053583976	-0.073561835	-0.052928931	-0.054576002	-0.105335763	-0.229790478	-0.110956594	-0.033746371
ABCA12	0.77414846	0.976814263	0.812594194	0.952284415	0.980937628	0.908607498	0.815978717	0.770524107	0.892999265	0.935253519	1.122746256
ABCA2	0.112523226	0.081649604	0.122791281	0.078841125	0.219671292	0.098530656	0.084561864	0.080327858	0.064424684	-0.02260161	0.09654592
ABCA3	0.122933884	0.188023902	0.136375245	0.172135096	0.222298416	0.191971065	0.128001642	0.124541387	0.110055647	0.097387049	0.186401659
ABCA4	-0.035794279	-0.060277621	-0.082091542	-0.094207063	-0.078023109	-0.050393099	-0.129780992	-0.067178777	-0.125786946	-0.106257586	-0.046518889
ABCA5	1.185524103	0.985014402	1.343396561	1.357930953	1.366191244	1.162916154	1.249615141	1.103965173	1.063583413	1.252165397	1.496621486
ABCA6	0.019449012	0.069873868	-0.003252231	-0.020224289	-0.090111501	-0.131118848	0.023056104	-0.03397018	-0.15952151	-0.216078801	-0.115265211
ABCA7	-0.044588973	-0.002034754	0.03052056	0.000837043	0.057447394	0.00052693	-0.07565238	0.001283761	0.037089003	0.03306623	0.122464943
ABCA8	-0.253902274	-0.168969183	-0.278830045	-0.274451723	-0.199826802	-0.234553508	-0.253590159	-0.252599125	-0.25261626	-0.27918833	-0.231856532
ABCB1	-0.358594516	-0.272232757	-0.416863494	-0.332687221	-0.321164689	-0.319219652	-0.418734517	-0.312700017	-0.376756707	-0.316334943	-0.323010817
ABCB11	-0.233084012	-0.277929194	-0.276355295	-0.256051011	-0.248939746	-0.268777996	-0.26492476	-0.302905153	-0.27603911	-0.306080302	-0.305451496
ABCB4	-0.280294197	-0.330710544	-0.24663166	-0.182107036	-0.289604225	-0.328451586	-0.248953394	-0.249716229	-0.206327213	-0.124850741	-0.329597024
ABCB6	0.334823275	0.394175964	0.413730223	0.34741668	0.502368766	0.376854947	0.291683182	0.300841202	0.298965071	0.34673181	0.443148188
ABCB7	0.843570031	0.958300725	0.852325067	0.810792778	0.833210561	0.852618732	0.815422613	0.92439495	0.884227302	0.844684281	0.910778746
ABCB8	-0.060921245	-0.027116796	-0.000407713	0.078033833	0.039500165	0.058294883	0.02307284	-0.073089934	-0.069224498	-0.059679834	-0.060003115
ABCB9	0.024290049	-0.012514342	0.057444494	0.056149991	0.084804635	0.105349102	0.050305596	0.000485543	0.00272953	0.002556741	0.008532474
ABCC1	1.494818363	1.588732141	1.671782979	1.430244977	1.815525758	1.582752992	1.578176791	1.29258592	1.391167025	1.538428889	1.667516883
ABCC10	0.785341862	0.7821876	0.934577067	0.806322808	0.979403941	0.867366834	0.73103109	0.768680828	0.717979164	0.805405267	0.991707077
ABCC2	-0.175980866	-0.166134745	-0.143499678	-0.114156462	-0.053463097	-0.106370065	-0.122875987	-0.144183423	-0.111501355	-0.112806105	-0.064213794
ABCC3	1.611873479	1.82014139	1.836711157	1.910395296	2.077425553	1.859440126	1.711655516	1.558726688	1.654392935	1.789159439	1.974675154
ABCC4	0.267928467	0.320159087	0.328971219	0.425324009	0.388258816	0.380406326	0.335071767	0.323799453	0.431987679	0.382570797	0.452752129
ABCC5	0.28403945	0.3921872	0.424267046	0.35401194	0.348625509	0.331864944	0.357155693	0.283470191	0.361937409	0.324654017	0.42617242
ABCC6	-0.262863866	-0.253828342	-0.212082557	-0.220529765	-0.260356825	-0.266280996	-0.295823446	-0.216451044	-0.268157197	-0.286135511	-0.23233878
ABCC8	-0.295469677	-0.348356869	-0.322547638	-0.30211718	-0.188480889	-0.271856432	-0.299551527	-0.367779315	-0.291535605	-0.328014211	-0.252480911
ABCC9	-0.181893562	-0.235522167	-0.224251249	-0.210636913	-0.226866241	-0.191800402	-0.246564757	-0.23024243	-0.184527598	-0.229889729	-0.225003847
ABCD1	0.099208504	0.132274289	0.078522072	0.248550415	0.163619668	0.129350774	0.142420087	-0.084638838	-0.002997721	0.036516558	0.02760631
ABCD2	-0.260915067	-0.273882593	-0.288706874	-0.388674281	-0.298133497	-0.236637788	-0.270354177	-0.27619094	-0.286803259	-0.312772746	-0.36639884
ABCD3	1.204531908	1.163243239	1.191888442	1.16686646	1.161737833	1.149725047	1.18932076	1.098338306	1.035775534	1.061652555	1.185287151
ABCD4	0.144759603	0.106638888	0.128368161	0.158326956	0.139370493	0.113265991	0.064083717	0.064067044	0.072170673	0.016726081	0.090962757
ABCE1	0.706603216	0.853797693	0.676518354	0.771127249	0.647417163	0.624362424	0.702324081	0.69955804	0.825606717	0.767432666	0.921004435
ABCF1	0.990089622	0.979896678	0.920512418	1.085396482	1.049818125	0.996663696	1.045279874	0.956871149	0.858001418	0.870108869	0.964734468
ABCF2	0.241280896	0.239752229	0.199359739	0.202933962	0.236502751	0.179960821	0.181049279	0.237882541	0.182481816	0.155498106	0.248159666
ABCF3	0.38578378	0.414337153	0.389957543	0.396697108	0.34465913	0.351296298	0.317867572	0.329614877	0.348780193	0.401952505	0.357195208
ABCG1	0.341854544	0.268731204	0.272987466	0.426079704	0.432456784	0.397025841	0.33962983	0.250250237	0.23838857	0.24046111	0.44168207
ABCG2	-0.145733144	-0.107053633	-0.201148352	-0.209194183	-0.19925545	-0.175442583	-0.228528443	-0.17150794	-0.220788894	-0.222320992	-0.205966098
ABCG4	0.023465626	-0.061905245	-0.087883605	-0.074941842	-0.074733866	-0.076598005	-0.047841404	-0.124114634	-0.064862077	-0.05712682	-0.094097309
ABCG5	-0.200956139	-0.187500451	-0.224881901	-0.211211298	-0.214288643	-0.134592568	-0.138439603	-0.177706703	-0.207399579	-0.147724979	-0.15353174
ABHD10	0.257554658	0.397596509	0.244614709	0.261216316	0.230710264	0.228885019	0.241386736	0.211142308	0.334694609	0.208178334	0.271489054
ABHD11	0.316835261	0.298101616	0.252265774	0.158008703	0.301825987	0.234163743	0.222718463	0.323753111	0.365680706	0.2124232	0.292474108
ABHD14A	0.040552888	0.054934395	-0.044146311	0.051389204	-0.018855938	-0.011103081	0.052611952	0.074877002	-0.024310334	0.006231369	0.041632561
ABHD2	0.079580157	0.11175056	0.073351364	0.068107443	0.090798117	0.102591089	0.137764667	0.073947611	0.065529166	0.059361117	0.130546423
ABHD3	0.494118804	0.460871436	0.562960809	0.515385644	0.50068996	0.513563067	0.497253577	0.501766151	0.433947345	0.438968645	0.579280737
ABHD4	0.433817518	0.498019281	0.485181766	0.466629374	0.418807841	0.446221329	0.377494951	0.366561882	0.409150205	0.369931026	0.376947328
ABHD5	0.486576463	0.419530961	0.398587786	0.340757555	0.37014906	0.332804857	0.328152895	0.466697443	0.368828553	0.300664333	0.443947899
ABHD6	0.372132352	0.318666652	0.310883946	0.232881647	0.375607964	0.26330001	0.378786146	0.396338812	0.300900075	0.202814366	0.382465398
ABHD8	-0.004843916	0.008877869	-0.029801935	0.033595326	0.006442328	0.009420423	-0.010555692	-0.034741617	-0.065444006	-0.019135501	-0.073846696
ABI1	1.095812012	1.064707247	1.118363684	1.091603228	1.102588726	0.915875825	1.021568291	1.089509475	1.169058354	1.057731988	1.246463841
ABI2	0.500687333	0.413061656	0.316178163	0.516294837	0.400355743	0.398809892	0.421772461	0.327631042	0.270837428	0.276986798	0.308421174
ABL1	1.239243522	1.219217729	1.25652238	1.297751725	1.362810306	1.195353754	1.266562466	1.191685088	1.096439568	1.129217017	1.227766752
ABL2	-0.050683473	0.011673197	0.022734209	-0.065702707	0.010326075	-0.022099702	-0.019977011	-0.081531275	-0.024237435	-0.089450462	0.008010893
