	PI3K1	PI3K2	PI3K3	PI3K4	PI3K5	PI3K6	PI3K7	PI3K8
A1CF	0.0439268	-0.079298035	-0.059504647	-0.031667534	-0.082552849	-0.043314811	-0.101367679	-0.124028039
A2M	0.342268451	0.230665674	0.183143567	0.272686242	0.416920959	0.303478099	0.303332934	0.327004852
A4GALT	0.045391177	0.120054948	0.086128044	0.005800811	0.032216744	0.06408899	0.070763721	0.096381214
A4GNT	-0.218269007	-0.183367924	-0.236500562	-0.157542121	-0.208622401	-0.179134226	-0.127919418	-0.140412088
AAAS	0.363386052	0.269544969	0.307853082	0.231152186	0.231878554	0.291264975	0.420175403	0.283218947
AACS	1.009306778	0.973839266	1.001331448	0.984834545	0.98081503	0.977135181	1.084501568	0.850331121
AADAC	-0.023431125	-0.037820386	-0.059718938	-0.040864925	-0.04477778	-0.048010224	-0.150194229	-0.114399578
AAGAB	0.308832026	0.35088736	0.257827914	0.267981125	0.280199408	0.301793471	0.243206598	0.257128244
AAK1	0.009075134	-0.024161208	-0.009888362	-0.040172522	-0.022209238	-0.006316835	0.012381031	-0.049002943
AAMP	0.822713097	0.850517803	0.708387954	0.775266697	0.768387765	0.878471474	0.747563301	0.771878767
AANAT	-0.358086756	-0.221145902	-0.307630801	-0.292642098	-0.270788471	-0.305531408	-0.324201541	-0.310917251
AARS	2.363847151	2.423858851	2.458570495	2.456027269	2.571773752	2.40197964	2.369364068	2.374029875
AARSD1	0.333558239	0.389078715	0.296565062	0.350017911	0.276029861	0.355388331	0.237615833	0.294099904
AASDHPPT	1.063947383	1.258547231	1.097582312	1.12169647	0.880059663	1.241329828	1.061833722	1.053751316
AASS	0.081820324	-0.012408138	0.02084807	0.078583475	0.029209582	0.078179731	0.13035684	0.085773277
AATF	1.397514025	1.660108666	1.607550264	1.50549678	1.443227708	1.577587127	1.440571984	1.304488023
AATK	0.041616178	0.037560302	0.087167244	-0.014752747	-0.042260174	-0.024190302	0.084837051	-0.020368196
ABAT	0.509729113	0.533040559	0.486392103	0.493371757	0.503245016	0.506875084	0.486177455	0.488689711
ABCA1	0.305517435	0.248214976	0.297343739	0.243355504	0.283395795	0.289675267	0.366626627	0.291641861
ABCA11P	-0.019094178	-0.002446418	-0.060788698	-0.034291684	-0.098959156	0.028994005	-0.137961743	-0.040011364
ABCA12	0.460071405	0.537979458	0.539193777	0.469518051	0.467390446	0.646151624	0.684635582	0.487241101
ABCA2	0.188245351	0.1193803	0.057171176	0.070627664	0.118395828	0.136752002	0.223517327	0.135493009
ABCA3	0.372265487	0.335770264	0.245098028	0.264908292	0.24374997	0.360602553	0.383792243	0.299869048
ABCA4	0.01554481	-0.046972599	-0.008708986	-0.036837405	-0.106370683	-0.014835689	-0.002974553	-0.000761673
ABCA5	0.919917896	0.801921045	0.806344987	0.674474369	0.736636018	0.92498838	0.966811716	0.814461455
ABCA6	-0.012218882	-0.015223595	-0.009684922	-0.095096093	-0.09485963	-0.053158445	0.005491691	-0.007084056
ABCA7	0.043419792	-0.099180479	0.028851575	0.061921477	-0.083242262	0.017701413	0.115714014	0.040474899
ABCA8	-0.187033357	-0.204963245	-0.239618513	-0.22250367	-0.189195508	-0.196746733	-0.197503762	-0.182212454
ABCB1	-0.328154525	-0.294028221	-0.376770354	-0.327402318	-0.28367157	-0.345644322	-0.272048063	-0.295024162
ABCB11	-0.230900891	-0.244438126	-0.205342216	-0.211023276	-0.255176319	-0.236377968	-0.24771412	-0.283337164
ABCB4	-0.254486858	-0.273137588	-0.316470613	-0.301171238	-0.288085905	-0.293841257	-0.233151624	-0.227741312
ABCB6	0.422470788	0.493604915	0.469428139	0.397721544	0.469052741	0.585436895	0.554671618	0.509578876
ABCB7	1.079613857	1.121376887	1.102512009	1.094880201	0.929588336	1.034984298	1.111371331	1.049127787
ABCB8	-0.002517931	0.002804847	-0.082700939	0.030711933	-0.005792709	0.015972213	-0.045542309	-0.028970566
ABCB9	0.081866827	0.086416268	0.062226102	0.071927186	0.064654233	0.092383197	0.110414305	0.143568472
ABCC1	1.375844867	1.330899147	1.262616955	1.197913351	1.30429664	1.476499356	1.511148006	1.375450509
ABCC10	0.630137551	0.600226272	0.531030487	0.500717538	0.523373566	0.740303632	0.675181757	0.592358147
ABCC2	-0.15978156	-0.166809126	-0.225370754	-0.154893154	-0.154788829	-0.152032233	-0.217412073	-0.214318112
ABCC3	1.278846989	1.153794394	1.176800981	1.121625694	1.109119001	1.197181208	1.397145858	1.307139712
ABCC4	0.484040732	0.474883906	0.449512823	0.477289103	0.451797384	0.631379526	0.583013984	0.497357883
ABCC5	0.242094771	0.186985705	0.178153105	0.262479351	0.212635415	0.304324521	0.272611586	0.214184763
ABCC6	-0.226839548	-0.223562982	-0.227148368	-0.206226573	-0.244424378	-0.220916885	-0.210581521	-0.21743397
ABCC8	-0.208662887	-0.218590956	-0.271626928	-0.185071114	-0.26559215	-0.210292281	-0.246253269	-0.249988183
ABCC9	-0.204010566	-0.148786292	-0.202676346	-0.140828591	-0.14722683	-0.154935393	-0.145374192	-0.160401537
ABCD1	0.113473551	0.138827148	0.142386902	0.128214605	0.091141921	0.175576102	0.068394218	0.118050115
ABCD2	-0.18325019	-0.253258215	-0.259094558	-0.269764814	-0.178017881	-0.233718505	-0.226198816	-0.275429181
ABCD3	1.201949709	1.184900363	1.108049525	1.048522662	1.15623428	1.325616403	1.188498904	1.209435069
ABCD4	0.051091719	0.067905844	0.080670991	0.101273144	0.033667841	0.059553049	0.0902494	0.0949246
ABCE1	0.838567432	0.963431407	0.900713362	0.833032021	0.841683036	0.92788016	0.811676919	0.828768543
ABCF1	1.247259372	1.347670409	1.230095532	1.260390659	1.396765047	1.281092604	1.14998634	1.150094476
ABCF2	0.299588933	0.352469442	0.250313433	0.318881012	0.275696649	0.324767017	0.290550245	0.28061992
ABCF3	0.385051623	0.362618996	0.370009599	0.388928208	0.321728936	0.472387099	0.41690792	0.334330625
ABCG1	0.086513117	0.092884846	0.078498614	0.051324648	0.027747158	0.200757233	0.142319178	0.169445391
ABCG2	-0.167524227	-0.087788692	-0.106187214	-0.133557322	-0.103575933	-0.060202715	-0.134445437	-0.078908229
ABCG4	-0.047247335	-0.042757577	-0.05994145	-0.116466445	-0.089250605	-0.060222027	-0.003274237	-0.061640028
ABCG5	-0.229314637	-0.189832078	-0.162421858	-0.126891274	-0.120760486	-0.147742205	-0.185709359	-0.200044327
ABHD10	0.714293316	0.790085353	0.621088052	0.713978201	0.71093476	0.72252284	0.675054744	0.729603004
ABHD11	0.813684035	0.800231242	0.758337978	0.713058202	0.666491826	0.807292622	0.707920897	0.703408903
ABHD14A	0.066228277	0.136759744	0.094356618	0.093898679	0.103514296	0.156934693	0.104520487	0.167839915
ABHD2	0.110396128	0.105641899	0.05869973	0.061401009	0.054161247	0.207773533	0.151470871	0.148799638
ABHD3	0.625268468	0.510425316	0.499106532	0.456045473	0.399367966	0.683069341	0.658311702	0.611461314
ABHD4	0.596816717	0.604442252	0.604722165	0.653171717	0.617123625	0.65767504	0.606475639	0.625293432
ABHD5	0.638067362	0.688893894	0.606429967	0.583429146	0.574128986	0.603314854	0.656212605	0.637659435
ABHD6	0.374955726	0.332781447	0.304930148	0.287227211	0.271227923	0.429367174	0.389611445	0.416957489
ABHD8	0.07135873	0.042476548	0.029240437	0.050307445	0.021773316	0.090277031	0.093962633	0.055904947
ABI1	1.160862912	1.224818668	1.173070867	1.123559439	1.054444421	1.218017655	1.10981836	1.117431534
ABI2	0.567981909	0.619067221	0.525973155	0.608642743	0.512358619	0.56713486	0.583276224	0.529509967
ABL1	1.124313049	1.2362125	1.153758351	1.113700673	1.1263148	1.237918563	1.055843651	1.028115492
ABL2	0.132312454	0.214256085	-0.01070217	0.157407668	0.071542084	0.232361787	0.142995897	0.148528608
ABLIM1	1.115352064	1.155468909	1.163898135	1.203921804	1.188118022	1.219354397	1.108465001	1.110095168
ABLIM3	0.061134219	0.160726118	0.029467326	0.09892885	0.015449858	0.120785724	0.113114757	0.051171092
ABO	-0.218780575	-0.172391136	-0.201668984	-0.173767008	-0.119477006	-0.114920427	-0.14120007	-0.146476337
ABP1	-0.259518493	-0.188699759	-0.246582713	-0.200093491	-0.227008401	-0.173477009	-0.187007059	-0.20398139
ABR	0.295282619	0.373081442	0.352425139	0.366283143	0.3782999	0.394968617	0.369056118	0.33850548
ABT1	0.55258642	0.553342774	0.427963308	0.433912715	0.331208834	0.563828528	0.405199692	0.473693831
ABTB2	0.074409512	-0.011439275	-0.037021518	-0.035937901	-0.0072034	-0.006175005	0.025647746	-0.040823768
ACAA1	0.702302878	0.586185471	0.592388966	0.638866432	0.544133941	0.59988834	0.579341288	0.635203318
ACAA2	0.342044756	0.350359689	0.339584656	0.358609921	0.359342479	0.283630767	0.297130545	0.327892606
ACACA	1.510206794	1.544121759	1.544618527	1.365167969	1.542643236	1.480511316	1.529448007	1.412403434
ACACB	-0.096015224	-0.075556246	-0.116027648	-0.09480413	-0.103692056	-0.108504487	-0.079787627	-0.136600102
ACAD10	0.125182693	0.060277028	0.079429924	0.042752829	0.029503208	0.113286195	0.142024443	0.042027443
ACAD8	0.328608107	0.358584363	0.304217746	0.315437667	0.190800348	0.438060265	0.377797769	0.23229009
ACADL	-0.262978084	-0.214367055	-0.257058595	-0.222318746	-0.203834003	-0.145327572	-0.272731395	-0.20056092
ACADM	0.64877533	0.640513439	0.515093955	0.619402433	0.643281908	0.659037028	0.61693253	0.515066217
ACADS	0.117995136	0.137784736	0.105635439	0.094208072	0.111104532	0.086902819	0.143736127	0.146820265
ACADSB	0.096297267	0.081207701	0.078874019	0.097217788	0.102354114	0.089298804	-0.033066455	0.04707241
