	GFP-1	GFP-2	GFP-3	GFP-4	GFP-7	GFP-8
DDX11L1	0	0	0	0	0	0
WASH7P	4.20185790977682	4.53365835369428	4.44263402604597	4.44349650372759	3.98832267454097	4.33420230935341
MIR6859-2	0	0	0	0	0	0
MIR6859-1	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
LOC729737	3.2714646703387	3.1620970379111	3.3888032565973	3.35268924515955	2.5312561743444	2.74819830822387
LOC100132287	0	0	0	0	0	0
LOC100133331	0.809467121362789	0.891314842896339	0.75371625247266	0.748447833560037	0.6277085594866	0.641208754804766
LOC100132062	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0
OR4F3	0	0	0	0	0	0
MIR6723	8.1775235500605	7.95996260086482	8.49394314369109	8.33983147731906	7.61849862497733	8.45493609327475
LOC100288069	0.390047202626122	0.644219565977947	0.1513526455621	0.857304618493915	0.677735401268618	0.440177990522846
FAM87B	0.448785085697312	0.709437421487121	0.89381501653711	0.131460852648835	0.358309971077758	0.116192681176635
LINC00115	1.26326348555627	1.40093453950133	1.61946927421774	1.70183582525496	1.41390152927557	1.79742852389617
LINC01128	2.54599872251212	2.58052684065444	2.50613477944421	2.46979066241765	2.36184408454718	2.48318770391915
FAM41C	0	0	0	0	0.111449958745576	0
LOC100130417	0	0.95124526708796	0	0	0	0
SAMD11	1.28938939408752	1.01960084149297	1.2055647209378	0.78756902085904	1.19379116240502	0.595228246811019
NOC2L	5.5185621224373	5.66451914511127	5.38106899541979	5.70782930183293	5.44534385057286	5.66141225225352
KLHL17	3.85806359099776	4.13868393400768	3.84465413897103	4.01702714349926	3.4584980681331	3.92415331377606
PLEKHN1	4.03342358482683	3.92530474607309	4.016992703064	4.09290495788072	3.67938045380532	3.81951866202651
PERM1	2.88899338423682	2.80486376963936	2.76456159083054	2.82120443283052	2.28909832834842	2.69504349996336
HES4	8.12275860142701	8.56435018120977	8.48656167558378	8.11216102954012	7.84862094411482	8.11578273750844
ISG15	10.7381927102221	10.8508805549072	10.9254472293576	10.7079331535894	10.770673881443	10.9234113528653
AGRN	8.050300837274	8.01704760133536	7.59114816839775	7.76654358959879	7.36011657423094	7.58327214696234
RNF223	3.53869173056317	3.42853859738478	3.32992018153139	3.04841487157426	2.6993835853009	3.12130616227334
C1orf159	4.52663793712539	4.59142803459492	4.58014449564933	4.51478851908081	3.84296070579323	4.44926686601912
LINC01342	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0
MIR200A	0	0	2.12760895204132	1.61385707245641	0	0
MIR429	3.49257333797004	3.07695815128961	2.69626216621453	3.60554379415672	2.57345689190303	3.67653390451519
TTLL10	0.063972488600746	0.0694648785562768	0.421429956827777	0.236114223084487	0.285631053241687	0.0732822533879909
TNFRSF18	1.40878943201057	1.72908780630178	1.81862347929639	1.85892794224039	1.61127675292285	1.66626982602437
TNFRSF4	1.88698018898605	2.52441270147152	2.78796072607491	1.67078765868819	2.87371183979232	2.40132362851602
SDF4	8.16120722495327	8.37565812491415	8.26070769536643	8.46499775507398	8.28780226188607	8.34341461416747
B3GALT6	5.49360604482334	5.68571141335718	5.42941189856619	5.55153287351713	5.30283270111991	5.65880360160806
FAM132A	2.68724435469268	2.85104978998637	3.12199671398177	2.00822606424982	2.58301544604936	1.74193800004264
UBE2J2	6.22752449302508	6.26324154602467	6.36226272757191	6.33956271516016	6.02694012793246	6.24154831593865
SCNN1D	3.23390441154702	2.91063716775036	3.05298967793283	2.85896448674504	2.26706896575166	2.58938041839886
ACAP3	4.6043142759398	4.88444474112683	4.79215771329973	4.68472988453418	4.26216565725056	4.54727902328113
MIR6726	0	0	0	0	0	0
PUSL1	4.78961001329356	4.92483243731477	4.70435305093762	4.89320281010736	4.48775491793643	4.51266606211241
CPSF3L	6.14735567584633	6.07089423094839	5.95886324667838	6.02044744988769	5.77294592424892	6.03884291653334
MIR6727	0	0	0	0	0	0
