	PI3K-1	PI3K-2	PI3K-4	PI3K-5	PI3K-6	PI3K-7	PI3K-8	PI3K-9	PI3K-10
DDX11L1	0	0	0	0	0	0	0	0	0.191610785974828
WASH7P	3.90943322359527	3.97564002843368	3.9621753760073	4.09362356245357	4.16556445752426	3.85459772086617	3.57218635340508	3.57385827020981	3.73724077489337
MIR6859-2	0	0	0	0	0	0	0	0	0
MIR6859-1	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0
LOC729737	1.50415496450354	1.76858251917518	1.07841307665964	1.68977230979303	1.65274270373044	1.40738482830281	1.14861027311221	1.60250801515174	1.29715293496069
LOC100132287	0	0	0	0	0	0	0	0	0
LOC100133331	0.378906609302163	0.296812817061568	0.273670323900966	0.453826923894317	0.342164100572238	0.358702180650485	0.354343686290077	0.263881210975171	0.220009920986704
LOC100132062	0	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0
OR4F3	0	0	0	0	0	0	0	0	0
MIR6723	8.48827446527593	8.16611823042758	8.74035272122237	8.86105568882121	8.67537566158855	8.76378032631222	8.52058916701717	8.98553994392612	8.8112206463627
LOC100288069	0.553911121940809	0.279271941410155	0.438398395832364	0.41054190354351	0.337349877775122	0.286809493394788	0.901264462917827	0.209620717901168	0.227926133457644
FAM87B	0.286958409661093	0.537926946933041	0.808424346813596	0.431072030626292	0.354653717819382	0.20803222856754	0.451189048781059	0.287565501145184	0.311975400072093
LINC00115	3.05463594588315	2.55862823502154	2.86477114757593	2.08932256800127	2.78577079113129	2.88963082550788	1.89135696469327	2.6344723699588	2.58224224223975
LINC01128	2.86360810382883	2.79957504560686	2.74868161779783	2.76390568562272	2.79613838002418	2.79573924506571	2.64543626940959	2.7617350394491	2.58653586399371
FAM41C	0	0	0	0.33861760693379	0	0.234808879228218	0	0	0
LOC100130417	1.84299589689014	1.7490889660209	1.56709182645126	1.7113896974331	2.09650519905849	2.69408592223056	0	1.19961907710815	1.94053179665678
